index,psd,reference,boundary,stable,reference_edge,possible_min,possible_max,uncertainty_aware_comparison,old_edge,old_point_estimate_shift,current_edge,current_point_estimate_shift,ideal_public_rounding_edge,ideal_public_rounding_point_estimate_shift
18,original,input_power,13,True,1035121,1035121,1035121,current_closer,1035163,42,1035121,0,1035121,0
18,original,input_power,14,True,1039950,1039950,1039950,current_closer,1039970,20,1039950,0,1039950,0
18,original,input_power,15,True,1044403,1044403,1044403,current_closer,1044414,11,1044403,0,1044403,0
19,original,input_power,1,True,28518,28518,28518,current_closer,28499,-19,28518,0,28518,0
19,original,input_power,2,True,37588,37588,37588,current_closer,37553,-35,37588,0,37588,0
19,original,input_power,3,True,45586,45586,45586,current_closer,45526,-60,45586,0,45586,0
19,original,input_power,4,True,53778,53778,53778,current_closer,53697,-81,53778,0,53778,0
19,original,input_power,5,True,63830,63830,63830,current_closer,63685,-145,63830,0,63830,0
19,original,input_power,6,True,76359,76359,76359,current_closer,76137,-222,76359,0,76359,0
19,original,input_power,7,True,94314,94314,94314,current_closer,93922,-392,94314,0,94314,0
19,original,input_power,8,True,125189,125189,125189,current_closer,124272,-917,125189,0,125189,0
19,original,input_power,9,True,322355,322355,322355,current_closer,294328,-28027,322354,-1,322354,-1
19,original,input_power,10,True,1009540,1009540,1009540,current_closer,1009811,271,1009540,0,1009540,0
19,original,input_power,11,True,1021735,1021735,1021735,current_closer,1021845,110,1021735,0,1021735,0
19,original,input_power,12,True,1029346,1029346,1029346,current_closer,1029405,59,1029346,0,1029346,0
19,original,input_power,13,True,1035157,1035157,1035157,current_closer,1035198,41,1035157,0,1035157,0
19,original,input_power,14,True,1039967,1039967,1039967,current_closer,1039986,19,1039967,0,1039967,0
19,original,input_power,15,True,1044411,1044411,1044411,current_closer,1044423,12,1044411,0,1044411,0
20,original,input_power,1,True,28528,28528,28528,current_closer,28509,-19,28528,0,28528,0
20,original,input_power,2,True,37606,37606,37606,current_closer,37572,-34,37606,0,37606,0
20,original,input_power,3,True,45617,45617,45617,current_closer,45559,-58,45617,0,45617,0
