# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'cycles:u'
# Event count (approx.): 308143790071
#
# Overhead  Command     Shared Object                                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ..........  .....................................................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  python      python3.11                                             [.] PyTuple_New
     0.02%  python      python3.11                                             [.] PyLong_AsLong
     0.02%  python      python3.11                                             [.] slot_tp_init
     0.02%  python      libtorch_cpu.so                                        [.] mkl_serv_libm_cos
     0.02%  python      python3.11                                             [.] _PyUnicode_JoinArray
     0.02%  python      libc.so.6                                              [.] cfree@GLIBC_2.2.5
     0.02%  python      python3.11                                             [.] tupletraverse
     0.02%  python      libtorch_cpu.so                                        [.] torch::jit::SharedParserData::match(torch::jit::StringCordView::Iterator, bool, bool, int*, torch::jit::StringCordView::Iterator*, torch::jit::StringCordView::Iterator*)
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] arr_interp
     0.02%  python      libtorch_cpu.so                                        [.] void at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::complex<float>, c10::complex<float>)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(at::vec::AVX2::Vectorized<c10::complex<float> >, at::vec::AVX2::Vectorized<c10::complex<float> >)#1}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::complex<float>, c10::complex<float>)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(at::vec::AVX2::Vectorized<c10::complex<float> >, at::vec::AVX2::Vectorized<c10::complex<float> >)#1}&) [clone .isra.0]
     0.02%  python      [unknown]                                              [k] 0xffffffff8545f2ae
     0.02%  python      python3.11                                             [.] _PyObject_GC_New
     0.02%  python      python3.11                                             [.] unicode_decode_utf8
     0.02%  python      python3.11                                             [.] PyDict_SetDefault
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] discover_dtype_from_pyobject
     0.02%  python      python3.11                                             [.] _PyUnicode_FromUCS1
     0.02%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] update_shape
     0.02%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact8_32fc
     0.02%  python      liblal-8f7cb511.so.20.3.2                              [.] memmove@plt
     0.02%  python      libc.so.6                                              [.] __printf_buffer
     0.02%  python      libc10.so                                              [.] c10::TensorImpl::requires_grad() const
     0.02%  python      libc.so.6                                              [.] __memcmp_avx2_movbe
     0.02%  python      libhdf5.so.1000.0.0                                    [.] H5C_protect
     0.02%  python      libc.so.6                                              [.] __memset_avx2_unaligned_erms
     0.02%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#16}::operator()() const::{lambda(c10::complex<double>)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#16}::operator()() const::{lambda(at::vec::AVX2::Vectorized<c10::complex<double> >)#1}> >(long, char**, long const*, long, long)
     0.02%  python      python3.11                                             [.] _PyObject_GenericSetAttrWithDict
     0.02%  python      python3.11                                             [.] cfunction_call
     0.02%  python      python3.11                                             [.] listiter_next
     0.02%  python      ld-linux-x86-64.so.2                                   [.] strcmp
     0.02%  python      python3.11                                             [.] _PyPegen_fill_token
     0.02%  python      libtorch_cpu.so                                        [.] compute_task_fwd
     0.02%  python      libc.so.6                                              [.] __memmove_sse2_unaligned_erms
     0.02%  python      libc.so.6                                              [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.02%  python      libtorch_cpu.so                                        [.] c10::impl::OperatorEntry::hasKernelForAnyDispatchKey(c10::DispatchKeySet) const
     0.02%  python      libc10.so                                              [.] c10::runtimeDispatchKeySetHas(c10::DispatchKey, c10::DispatchKey)
     0.02%  python      python3.11                                             [.] member_get
     0.02%  python      python3.11                                             [.] PyUnicode_Substring
     0.02%  python      python3.11                                             [.] bitwise_xor_rule
     0.01%  python      libtorch_cpu.so                                        [.] mkl_dft_def_owns_cFftFwd_Fact8_64fc
     0.01%  python      python3.11                                             [.] find_name_in_mro
     0.01%  python      python3.11                                             [.] dict_subscript
     0.01%  python      [unknown]                                              [k] 0xffffffff862549db
     0.01%  python      libmkl_def.so                                          [.] initTabTwd_Step
     0.01%  python      libtorch_cpu.so                                        [.] initTabTwd_Step
     0.01%  python      ld-linux-x86-64.so.2                                   [.] _dl_lookup_symbol_x
     0.01%  python      libtorch_cpu.so                                        [.] at::TensorIteratorBase::compute_mem_overlaps(at::TensorIteratorConfig const&)
     0.01%  python      libtorch_cpu.so                                        [.] void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#15}::operator()() const::{lambda(c10::complex<double>, c10::complex<double>)#1}, at::native::(anonymous namespace)::mul_kernel(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#15}::operator()() const::{lambda(at::vec::AVX2::Vectorized<c10::complex<double> >, at::vec::AVX2::Vectorized<c10::complex<double> >)#1}> >(long, char**, long const*, long, long)
     0.01%  python      _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _typenum_fromtypeobj
     0.01%  python      libmkl_def.so                                          [.] mkl_dft_def_owns_cFftFwd_Fact4_32fc
     0.01%  python      libgomp.so.1                                           [.] 0x000000000000c94b
     0.01%  python      libc.so.6                                              [.] __strftime_internal
     0.01%  python      libtorch_cpu.so                                        [.] at::native::copy_impl(at::Tensor&, at::Tensor const&, bool) [clone .isra.0]
     0.01%  python      libhdf5.so.1000.0.0                                    [.] H5SL_search
     0.01%  python      libc10.so                                              [.] c10::TensorImpl::incref_pyobject() const
     0.01%  python      libtorch_cpu.so                                        [.] at::native::AVX2::copy_kernel(at::TensorIterator&, bool)
     0.01%  python      libc10.so                                              [.] c10::impl::ExcludeDispatchKeyGuard::ExcludeDispatchKeyGuard(c10::DispatchKeySet)
