# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 165629586928
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   [unknown]                                              [k] 0xffffffff850d912e
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] resolve_descriptors
     0.01%  python   python3.11                                             [.] cfunction_vectorcall_FASTCALL_KEYWORDS
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL__insert_common
     0.01%  python   python3.11                                             [.] list_traverse
     0.01%  python   libc.so.6                                              [.] __tzfile_compute
     0.01%  python   python3.11                                             [.] PyUnicode_FindChar
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetIterSize
     0.01%  python   python3.11                                             [.] subtype_dict
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _buffer_info_cmp
     0.01%  python   libmkl_def.so                                          [.] mkl_serv_libm_cos@plt
     0.01%  python   python3.11                                             [.] PyImport_ImportModuleLevelObject
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_DescrFromScalar.part.0
     0.01%  python   python3.11                                             [.] _PyEval_EvalFrameDefault.cold
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_strided_to_strided_size4_srcstride0
     0.01%  python   [unknown]                                              [k] 0xffffffff85139ae2
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __pyx_pw_5pycbc_6vetoes_9chisq_cpu_9shift_sum(_object*, _object* const*, long, _object*)
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_GetPriority.part.0
     0.01%  python   python3.11                                             [.] int___format__
     0.01%  python   python3.11                                             [.] PySys_Audit
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] prepare_index
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] default_builtin_common_dtype
     0.01%  python   python3.11                                             [.] PyContextVar_Get
     0.01%  python   python3.11                                             [.] builtin___import__
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5VL_set_vol_wrapper
     0.01%  python   python3.11                                             [.] _PyCode_ConstantKey
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_GetInnerFixedStrideArray
     0.01%  python   libc.so.6                                              [.] _int_free_maybe_consolidate
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] NpyIter_AdvancedNew
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_CanCastArrayTo
     0.01%  python   matchedfilter_cpu.cpython-311-x86_64-linux-gnu.so      [.] __pyx_pw_5pycbc_6filter_17matchedfilter_cpu_13CPUCorrelator_3correlate(_object*, _object* const*, long, _object*)
     0.01%  python   eventmgr_cython.cpython-311-x86_64-linux-gnu.so        [.] __Pyx_PyDict_GetItem(_object*, _object*)
     0.01%  python   [unknown]                                              [k] 0xffffffff8520fb95
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] can_elide_temp_unary
     0.01%  python   python3.11                                             [.] _PyObject_VectorcallTstate.lto_priv.21
     0.01%  python   python3.11                                             [.] _PyTime_localtime
     0.01%  python   python3.11                                             [.] unicode_subscript
     0.01%  python   libc.so.6                                              [.] __offtime
     0.01%  python   simd_threshold_cython.cpython-311-x86_64-linux-gnu.so  [.] _windowed_max(std::complex<float>*, long, std::complex<float>*, float*, long*, long, long)
     0.01%  python   python3.11                                             [.] _PyObject_CallMethodIdObjArgs
     0.01%  python   python3.11                                             [.] _Py_dg_dtoa
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_MultiplyList
     0.01%  python   python3.11                                             [.] free_keys_object
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5CX__pop_common
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] _aligned_cast_long_to_uint
     0.01%  python   python3.11                                             [.] _io_TextIOWrapper_flush
     0.01%  python   _datetime.cpython-311-x86_64-linux-gnu.so              [.] add_datetime_timedelta.isra.0
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL__new_node
     0.01%  python   libc.so.6                                              [.] __mbsrtowcs_l
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignRawScalar
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D__btree_decode_key
     0.01%  python   [unknown]                                              [k] 0xffffffff862582d7
     0.01%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __pyx_pw_4h5py_8_objects_9with_phil_1wrapper
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5Pget_class
     0.01%  python   python3.11                                             [.] _PyHamt_Find.constprop.0
     0.01%  python   defs.cpython-311-x86_64-linux-gnu.so                   [.] __pyx_f_4h5py_4defs_H5Oopen
     0.01%  python   chisq_cpu.cpython-311-x86_64-linux-gnu.so              [.] __Pyx_BufFmt_ProcessTypeChunk(__Pyx_BufFmt_Context*)
     0.01%  python   _errors.cpython-311-x86_64-linux-gnu.so                [.] __pyx_f_4h5py_7_errors_set_default_error_handler
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G_loc_copy
     0.01%  python   libc.so.6                                              [.] memset@plt
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C_unprotect
     0.01%  python   [unknown]                                              [k] 0xffffffff854311ff
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5I_iterate
     0.01%  python   libm.so.6                                              [.] __pow_finite@GLIBC_2.15@plt
     0.01%  python   python3.11                                             [.] finalize_interp_clear
     0.01%  python   python3.11                                             [.] type_dealloc
     0.01%  python   libc.so.6                                              [.] __isnan
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5_hash_string@plt
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5C__tag_entry
     0.01%  python   [vdso]                                                 [.] 0x0000000000000ae9
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5G__traverse_real
     0.01%  python   libz.so.1.3.1                                          [.] updatewindow
     0.01%  python   python3.11                                             [.] instancemethod_dealloc
     0.01%  python   python3.11                                             [.] _io_TextIOWrapper_write
     0.01%  python   libc.so.6                                              [.] __strncpy_avx2
     0.01%  python   python3.11                                             [.] symtable_add_def_helper
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D_chunk_idx_reset
     0.01%  python   h5t.cpython-311-x86_64-linux-gnu.so                    [.] __pyx_f_4h5py_3h5t_py_create
     0.01%  python   python3.11                                             [.] long_or
     0.01%  python   python3.11                                             [.] builtin_id
     0.01%  python   [unknown]                                              [k] 0xffffffff8545d4bf
     0.01%  python   python3.11                                             [.] PyBytes_FromStringAndSize
     0.01%  python   python3.11                                             [.] PyVectorcall_Function
