# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles:u' (time slices: 548190.994246801,548242.361700376)
# Event count (approx.): 131916619162
#
# Overhead  Command  Shared Object                                          Symbol                                                                                                                                                     
# ........  .......  .....................................................  ...........................................................................................................................................................
#
     0.01%  python   libc.so.6                                              [.] _dl_mcount_wrapper_check
     0.01%  python   libc.so.6                                              [.] pthread_getspecific@@GLIBC_2.34
     0.01%  python   libgomp.so.1                                           [.] 0x00000000000114d5
     0.01%  python   _objects.cpython-311-x86_64-linux-gnu.so               [.] __Pyx_CheckKeywordStrings
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5D__read_api_common
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL__insert_common
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5O__layout_reset
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5P__dxfr_dset_io_hyp_sel_close
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] handle_scalar
     0.01%  python   python3.11                                             [.] list_contains
     0.01%  python   python3.11                                             [.] PyBytes_FromStringAndSize
     0.01%  python   python3.11                                             [.] PyEval_SaveThread
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] PyArray_AssignRawScalar
     0.01%  python   python3.11                                             [.] unicode_decode_utf8
     0.01%  python   python3.11                                             [.] PyContextVar_Get
     0.01%  python   [unknown]                                              [k] 0xffffffff85460c84
     0.01%  python   python3.11                                             [.] _PyErr_SetObject
     0.01%  python   libm.so.6                                              [.] __modf
     0.01%  python   python3.11                                             [.] PyBuffer_Release
     0.01%  python   python3.11                                             [.] dict_dealloc
     0.01%  python   [unknown]                                              [k] 0xffffffff854259f4
     0.01%  python   libc.so.6                                              [.] malloc_consolidate
     0.01%  python   python3.11                                             [.] PyObject_Call
     0.01%  python   libc.so.6                                              [.] __memmove_sse2_unaligned_erms
     0.01%  python   python3.11                                             [.] divrem1.cold
     0.01%  python   [unknown]                                              [k] 0xffffffff8545ad06
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_fac_malloc
     0.01%  python   python3.11                                             [.] PyUnicode_InternInPlace
     0.01%  python   python3.11                                             [.] PySequence_Fast
     0.01%  python   libm.so.6                                              [.] fetestexcept
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL_item
     0.01%  python   [unknown]                                              [k] 0xffffffff85431510
     0.01%  python   python3.11                                             [.] member_get
     0.01%  python   python3.11                                             [.] tuple_iter
     0.01%  python   python3.11                                             [.] PyCapsule_GetPointer
     0.01%  python   python3.11                                             [.] method_vectorcall
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5SL_next
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5S__hyper_bounds
     0.01%  python   [unknown]                                              [k] 0xffffffff853ff909
     0.01%  python   _multiarray_umath.cpython-311-x86_64-linux-gnu.so      [.] scalar_value
     0.01%  python   [unknown]                                              [k] 0xffffffff861b81c5
     0.01%  python   python3.11                                             [.] PyObject_RichCompareBool
     0.01%  python   libc.so.6                                              [.] __strnlen_avx2
     0.01%  python   libhdf5.so.1000.0.0                                    [.] H5FL_blk_realloc
     0.01%  python   python3.11                                             [.] _PyType_AllocNoTrack
     0.01%  python   [unknown]                                              [k] 0xffffffff8626bd45
     0.01%  python   python3.11                                             [.] _PyUnicode_JoinArray
